Date,Link,Message
2025-10-14 10:33:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383797689689300993,"He also posted 🚀💦 and some random $hitcoin pumped. I don't trust he understands the tech and how it really can and will help people to be economically sovereign. The free publicity is great but we see too many people glorifying celebs that suddenly post  positively about BTC to only talk about how doge is \"better\" afterwards xD"
2025-09-05 10:02:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369648347088830469,Saylor key member hahaha
2025-08-29 14:48:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366902285530013696,Really hope Lightning recovers from its downtrend in use and liquidity with channels shutting down. This might bring some interest back.
2025-08-21 07:34:28,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7364191388206272512,Habrá stream del evento y/o vídeo recopilatorio de charlas?
2025-08-21 07:21:14,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363914087627378688,Oh no! Strong hands persist & prevail.
2025-08-21 07:19:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363915189966069762,The absolute dream. Happy for you man.
2025-08-21 07:18:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363185449906888704,That's amazing! Quality education for free available with a few clicks or taps. Way to go!
2025-08-08 21:00:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359177574767296513,"“Bitcoin nació como efectivo electrónico peer-to-peer, pero ha evolucionado hacia una forma de reserva de valor incluso más rígida que el oro. Su stock-to-flow actual (~93) supera ampliamente al del oro (~59), gracias a su política de emisión decreciente tras cada halving.
Como medio de intercambio, la Lightning Network ha demostrado ser funcional en escenarios reales, desde micropagos cotidianos hasta economías comunitarias.
En términos de time preference, Bitcoin refuerza el ahorro a largo plazo: cada halving reduce aún más la nueva emisión, consolidando su carácter de hard money.
La adopción también crece: se estima en 260 millones los usuarios globales, con alrededor de 800 000 personas con al menos un BTC completo, mientras el 17 % de adultos estadounidenses ya ha participado en el mercado \"crypto\".
Bitcoin quizá no sea todavía dinero en el sentido tridimensional completo (reserva de valor, medio de cambio, unidad de cuenta), pero como activo incorruptible y creciente como alternativa al oro, está más cerca que nunca de cumplir su propósito inicial.”"
2025-08-01 09:31:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349354519689887744,Buen trabajo!!!
2025-07-08 21:33:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7348398900346589185,Congrats!!!
2025-07-08 12:16:21,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348323988495896576,"Un poco más de contexto:

Este sitio lo desarrollé desde cero usando HTML, CSS y JavaScript puro. Todo está versionado y publicado con Git y GitHub Pages.

Puedes ver el repositorio aquí: https://github.com/jimblogic/jimblogic.github.io

Cualquier feedback es más que bienvenido — sobre diseño, estructura, accesibilidad o código. Siempre aprendiendo, siempre construyendo.

Pronto vendrán más actualizaciones 💪"
2025-07-08 12:14:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348323313439404032,"Just to add a bit more context:

I built the site from scratch using HTML, CSS, and vanilla JavaScript. Everything is versioned and published through Git and GitHub Pages, and I’m learning best practices as I go.

You can check out the repo here: https://github.com/jimblogic/jimblogic.github.io

Any feedback — from structure to styling or accessibility — is more than welcome. Always learning, always building.

PS: Expect more updates soon! 🎯"
2025-06-28 09:33:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344367834048671744,LinkedIn AKA echo chamber 😂
2025-06-16 06:12:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340142605361434624,"Good Work, cheers!"
2025-06-08 15:25:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337056003923828736,Trying to connect with everyone raising their keyboard for Blue Team 😆
2025-06-06 17:37:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7327420620810407936,"¡Muchas gracias por compartir esta oportunidad tan alineada con mis valores y objetivos profesionales!

Ya he enviado mi candidatura al correo indicado. Me encantaría aportar desde el primer día y seguir creciendo con vuestro equipo en CSP Baleares.

💡 Formación reciente en ciberseguridad (UpgradeHub) + práctica en TryHackMe, HTB y entornos reales.
📍 Resido en Baleares y estoy muy motivado por aplicar normativa ENS, ISO 27001 y seguir aprendiendo.

Quedo atento a cualquier actualización. ¡Un saludo y gracias por la iniciativa!"
2025-04-26 09:12:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7317803928694280192,"Luego leeré el artículo y puede que lo respondas ahí; pero quería saber tu opinión de la capa 2 Lightning de Bitcoin, casi todas las altcoins quedan sin relevancia ya que en la L2 hay muchas posibilidades de desarrollo y experimentación con tracciones de satoshis."
2025-04-24 09:30:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318705646357438465,"Para guardar palabras clave yo personalmente prefiero algo que no tenga partes movibles. Tienes el aspecto positivo de aguantar grandes cantidades de calor o erosión por el agua (incendios, inundaciones) pero si por presión, movimiento o si se llega a doblar y abrir (terremoto, caída de gran peso encima)... Con placas sueltas creo que puede dar lugar a fallo ya que podrían caerse piezas. Pero es exponencialmente mejor que apuntarlas en un papel."
2025-04-23 15:26:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316158160564633601,"Tick tock, next block."
